,videoId,viewCount,likeCount,commentCount,thumbnailUrl,publishedAt,channelId,title,description,channelTitle,tags,categoryId,added_date
0,IhD9MjcL1Dg,925774,17990,2959,https://i.ytimg.com/vi/IhD9MjcL1Dg/default.jpg,2022-07-22T06:43:45Z,UCMEiyV8N2J93GdPNltPYM6w,Який невдалий день в орків,"#Еспресо #втрати_ворога #війна #окупанти #фронт|Еспресо в смартфоні - http://espreso.tv/|Наш сайт - http://espreso.tv/|Facebook - https://www.facebook.com/espreso.tv|Twitter - https://twitter.com/EspresoTV|Telegram - https://t.me/espresotb|Підписуйтесь на канал, щоб завжди бути в курсі подій!",Espreso.TV,Україна|Ukraine|новини|News|Еспресо ТВ|Еспресо.TV|Espreso.TV|эспресо тв|эспрессо тв|Телеканал Еспресо,25,2022-07-25T00:00:00Z
1,3Rk6qKr5RbE,692420,73587,1846,https://i.ytimg.com/vi/3Rk6qKr5RbE/default.jpg,2022-07-22T09:22:47Z,UC5BMQOsAB8hKUyHu9KI6yig,_WORLD - SEVENTEEN [Music Bank] | KBS WORLD TV 220722,"#MusicBank #뮤직뱅크 #ミュージックバンク #音乐银行|#Wonyoung #Sunghoon|Fri 17:00 | Re-run : Sun 04:30, 12:40 (Seoul, UTC+9)|KBS WORLD TV YouTube LIVE : 5PM (Seoul, UTC+9)|#_WORLD #SEVENTEEN|➕ Music Bank|2022 : https://youtube.com/playlist?list=PLMf7VY8La5REOohUTNebLTtU4Je5V4vft|2021 : https://youtube.com/playlist?list=PLMf7VY8La5RExE1YkVdBCHpaLsay2SnNa|➕ Song Festival|2021 : https://youtube.com/playlist?list=PLMf7VY8La5REQ1HJ1KqjWsZ9tTDKM1fgI|2020 : https://youtube.com/playlist?list=PLMf7VY8La5RGym7CKoCfDFz_qb_WxU8Ry|➕ Never Stop! Online Compilation Concert|Season #2 : https://youtube.com/playlist?list=PLMf7VY8La5RHtUcGjsT8qmRhfJG1ICQDo|Season #1 : https://youtube.com/playlist?list=PLMf7VY8La5RFFgnKp0iiXwKX39EGzhsDF|➕ Exclusive|BTS Stage : https://youtube.com/playlist?list=PLMf7VY8La5RFAM6Sgg4M9SkyGIusuhnac|Editor's Pick! : https://youtube.com/playlist?list=PLMf7VY8La5RG9xT3U4l0GAPuA4CdeIi3R|➕ LEGEND Video : |https://youtube.com/playlist?list=PLMf7VY8La5RFS0XWTWFycvquksqgPeQ80|➕ Subscribe KBS WORLD TV Official Pages|Youtube Subscribe：https://www.youtube.com/kbsworld|Homepage : http://www.kbsworld.co.kr |Facebook : http://www.facebook.com/kbsworld|Twitter : http://twitter.com/kbsworldtv |Instagram : https://www.instagram.com/kbsworldtv/|Line : https://goo.gl/g5iRQV|Android Download : https://bit.ly/3Io5sri|IOS Download : https://apple.co/3yQ0n7Z",KBS WORLD TV,kbs|kbsworld|kbs world|yt:cc=on|KBSWorld|KBS|kbsworldTV|kbs월드|월드TV|kbs 월드|world tv|KBS WORLD TV,24,2022-07-25T00:00:00Z
2,Ad4mz8E_lUA,100052,3915,212,https://i.ytimg.com/vi/Ad4mz8E_lUA/default.jpg,2022-07-22T07:33:59Z,UCMtFAi84ehTSYSE9XoHefig,It's The Final Hearing,"It's been a long journey but we've made it: the final hearing. #Colbert #Comedy #ColdOpens|Subscribe To ""The Late Show"" Channel: http://bit.ly/ColbertYouTube|Watch full episodes of ""The Late Show"": http://bit.ly/1Puei40|Listen to ""The Late Show Pod Show"" podcast: https://link.chtbl.com/Awagtx95?sid=yt|Like ""The Late Show"" on Facebook: http://on.fb.me/1df139Y|Follow ""The Late Show"" on Twitter: http://bit.ly/1dMzZzG|Follow ""The Late Show"" on Instagram: http://bit.ly/29wfREj|Watch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.|---|The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via Paramount+, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes.",The Late Show with Stephen Colbert,The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous,24,2022-07-25T00:00:00Z
3,7HTjjcicXXI,261489,,701,https://i.ytimg.com/vi/7HTjjcicXXI/default.jpg,2022-07-22T06:21:15Z,UCN7B-QD0Qgn2boVH5Q0pOWg,"Pakistan Mosque: ज़मीन के अंदर समा रही है पाकिस्तान की ये मस्जिद, क्या है इसकी कहानी? (BBC Hindi)","पाकिस्तान के ख़ैबर पख़्तूनख़्वा के नौशेरा में इस मस्जिद को 'मज़बूत मस्जिद' कहा जाता है. स्थानीय लोगों का दावा है कि 400 साल पुरानी ये मस्जिद धीरे-धीरे ज़मीन में धंस रही है. इस वजह से बार-बार मस्जिद की मरम्मत की जा रही है. कुछ लोगों का मानना है कि जब मुख्य मेहराब पूरी तरह दब जाएगी तो दुनिया ख़त्म हो जाएगी.|वीडियोे: बिलाल अहमद, बीबीसी उर्दू|#pakistan #masjid  #islam                |* जिन खबरों, तस्वीरों और दावों पर आपको हो शक, हम आपके लिए करेंगे उनकी परख. बीबीसी फ़ैक्ट चेक है आपके साथ. बस भेजिए WhatsApp मैसेज 9811520111 पर. बीबीसी फ़ैक्ट चेक यानी सच की कसौटी.|* Corona Virus से जुड़े और दिलचस्प वीडियो देखने के लिए यहां क्लिक करें : https://www.youtube.com/watch?v=npgvIvfmNkE&list=PLYxuvEJLss6ByutcqkthikPxV3ccUkwPB|* कोरोना वायरस से जुड़ी सारी प्रामाणिक ख़बरें पढ़ने के लिए क्लिक करें : https://www.bbc.com/hindi/international-51848794|* ऐसे ही और दिलचस्प वीडियो देखने के लिए चैनल सब्सक्राइब ज़रूर करें-|https://www.youtube.com/channel/UCN7B-QD0Qgn2boVH5Q0pOWg?disable_polymer=true|* बीबीसी हिंदी से आप इन सोशल मीडिया चैनल्स पर भी जुड़ सकते हैं-|फ़ेसबुक- https://www.facebook.com/BBCnewsHindi|ट्विटर- https://twitter.com/BBCHindi|इंस्टाग्राम- https://www.instagram.com/bbchindi/|बीबीसी हिंदी का एंड्रॉयड ऐप डाउनलोड करने के लिए क्लिक करें- https://play.google.com/store/apps/details?id=uk.co.bbc.hindi",BBC News Hindi,BBC Hindi|hindi news|news in hindi|pakistan|masjid|mosque|pakistan mosque|khyber pakhtunkhwa|kpk|islam|muslims|end of the world|pakistani masjid|पाकिस्तान|मस्जिद|खैबर पख्तूनख्वा|मस्जिद पाकिस्तान|धरती में समा रही मस्जिद|मुसलमान|पाकिस्तानी मुसलमान|इस्लाम|बीबीसी हिन्दी|कयामत,25,2022-07-25T00:00:00Z
4,uPRi1Wu2XkU,675582,3916,2325,https://i.ytimg.com/vi/uPRi1Wu2XkU/default.jpg,2022-07-22T06:32:00Z,UChlgI3UHCOnwUGzWzbJ3H5w,경기 군포시에서 부모 흉기로 살해한 30대 딸 긴급체포 / YTN,부모를 흉기로 살해한 30대 딸이 경찰에 붙잡혔습니다.|경기 군포경찰서는 31살 여성 A 씨를 존속살인 혐의로 긴급체포했습니다.|A 씨는 오늘(22일) 새벽 1시 반쯤 경기 군포시 산본동에 있는 아파트에서 60대 아버지와 50대 어머니를 잇달아 흉기로 찔러 살해한 혐의를 받습니다.|경찰은 집에 들렀다가 쓰러진 부모를 본 A 씨 동생의 신고를 받고 출동해 1시간 40여 분만에 집 근처 편의점에서 A 씨를 붙잡았습니다.|A 씨는 경찰 조사에서 욕설을 하는 등 범행 동기에 대해 제대로 된 진술을 하지 않는 것으로 파악됐습니다.|A 씨는 정신질환으로 입원했던 전력이 있는 것으로 전해졌는데 경찰은 피해자들의 부검을 의뢰하고 A 씨를 상대로 정확한 범행 경위를 조사하고 있습니다.|YTN 우철희 (woo72@ytn.co.kr)|※ '당신의 제보가 뉴스가 됩니다'|[카카오톡] YTN 검색해 채널 추가|[전화] 02-398-8585|[메일] social@ytn.co.kr|▶ 기사 원문 : https://www.ytn.co.kr/_ln/0103_202207221436248336|▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php|▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ|ⓒ YTN 무단 전재 및 재배포금지, YTN,source:영상|type:방송|genre:사회|format:단신|person:우철희,25,2022-07-25T00:00:00Z
5,LC8sZXwwB1A,628750,28387,2131,https://i.ytimg.com/vi/LC8sZXwwB1A/default.jpg,2022-07-22T06:22:11Z,UCIXS6lb0PDdcQFozoypclWg,YB Neet - Dem Dayz ft. Flow G (Official Music Video),"YB Neet - Dem Dayz ft. Flow G (Official Music Video)|Stream Here.|https://bfan.link/dem-dayz|Spotify:|https://open.spotify.com/artist/0Vl8g|Social:|https://www.instagram.com/youngblood.2kplaya|https://www.facebook.com/youngblood1309|--|Lyrics: |HOOK:|Remember them days |Nasa ibaba|Di akalaing, tinitingala |Nagbabawi na nung wala  pa kong meron.|Pano pa ngayong merong napala.|If they wont show me, I'll find me a way.|gettin this money|Got no time to play.|Molding myself easy|Like, but no clay.|I am not greedy, |Im leavin a trace.|Verse:|Nanatiling matibay damdamin sa pinakamahirap kong sitwasyon.|Tinrabahong layasan kung san komportable isip pero di na tugon.|Buhat ng pinili maging isa sa isang porsyento, bat laging gutom. |Pangungunahan tong planong isaboy sa diwa ang dedikasyong sinusulong|Bilang sa daliri, kumapit|Nung di pa gumana|Ngayon higit sa sagana.|Ang natatamo, andito pa lang sa unang pahina.|Lahat ng ibato kara.|Kalahating milyon para saking rap |Isang milyon para saking gasolina|Sanay isagad kung anong meron, oras, talento, sipag at puhunan.|Di nangangamba kung kame lumubog, |Sinong may ayaw saaming|Tunog.|Melodiyang mula sa kalsada alok|Uri ng obrang tala, pinapaluhod.|merong babala but i know imma Get it.|Handa na kamay ko sa big check|Nakakulong ang pangalan Sa music|Pag katay ang beat, YB suspect|Kuhain ang pera kasama pamilya,|Ako at sila lang ang kakaltas|Katuwang lang bumuhat  ang may karapatan sa tubo namin kumagat|Umabot sa puntong Hopeless|Butas ang bulsa ng Whole team|ngayon nasa Road to riches|Slowly getting My Rap dreams. Is u gettin me.|Flow G:|Kungdati mahirap ako paamuhin, ano pa ngayon?|lahat ng tira pasok, walang pinakitang kapos|di mo na para subukin alam mo na may bubunutin na di na kapos,|lumago kumbaga sa laro ay tinalo ko na pati pinaka boss pero di pa tapos.|Pag humarang pa kayo,|baka sagasaan ko pa kayo,|di na ko tinatablan ng mga ganyan, Hoy asa pa kayo, |tsaka pag usapang value, |iba na sa dating lebel,puro mamahalin na binibili |para lang mag mahal di nila ko bilhin,|kailangan mag calcu.|Kita naman kung gano ka tulig,|tatlong milyon sa bibig,|mga diamante ko ICE ICE.|ako na mismo nangilo. |kita naman sa ngiti ko, mga hijo.|Iba talaga yung dating, pero halatadong di na iba dito.|Kahirapan ala ala na lamang, hinding hindi ko nayan babalikan.|Di ko man masabi kung ano ang dahilan, pero di ko mapigilan na hindi ko galingan.|Kahit kadalasan ay nakakailang, kase may mga nababaitan. |Pero di nila makakaila na may kakaiba, di na para makipag daigan.|HOOK:|Remember them days |Nasa ibaba|Di akalaing, tinitingala |Nagbabawi na nung wala  pa kong meron.|Pano pa ngayong merong napala.|If they wont show me, I'll find me a way.|gettin this money|Got no time to play.|Molding myself easy|Like, but no clay.|I am not greedy, |Im leavin a trace.|--|Recorded / Mixed & mastered: Ghost Worldwide|Prod by: Young MLV|Co-presented by: UNDRAFTED|Directed by: Gotsauce? | VINCII | Vince Greg|Assistant Director: Kiwi John Genesis Cuerdo|Edited by: VINCII & REIKA|VFX by: REIKA|Production Designer: Migs Alcid | Studio Tatin|Styled by: Vince Gregorio|Production Manager: EventbabyPH | Nicole Victoria|Cam OP: Melvin Dave & Neo Bautista|BTS Photographers: Mar Rosales & Gab Altonaga|Powered by:|STREETSAINTS|SV|FOOT SOLDIER MANILA|MY BOO'S CLOSET|SHOE LAB MANILA|Big s/o:|Jonathan Martinez |Jerome Martinez |Erwin mata |Marvin espejo|#2Kplayaz #YoungBloods #GhostWorldwide #Gotsauce",Young blood Neet,Music Video|Hollywood|Lil Baby|Flow G|Ex Battalion|Hip Hop|YB Neet|Young Blood|Skusta Clee|official music video,10,2022-07-25T00:00:00Z
6,oWIJhJQYN4o,1669792,101691,7175,https://i.ytimg.com/vi/oWIJhJQYN4o/default.jpg,2022-07-22T09:00:45Z,UCZeinbsBPa37qf4HPj_w-lw,"Егор Крид - We Gotta Get Love (Премьера клипа, 2022)","Слушай трек везде - https://lnk.to/EGORKREED_WGGL|Егор Крид - We Gotta Get Love (Премьера клипа, 2022)|Блогинг Канал -  @KREED FAMILY |Игровой Канал -  @EGOR KREED GAMING  |ТЕЛЕГРАМ КАНАЛ - https://t.me/egorkreed|МОЙ ТВИЧ - https://www.twitch.tv/EGORKREED|Соц. сети Егора Крида:|- Instagram: https://www.instagram.com/egorkreed|- Tik Tok: https://www.tiktok.com/@egorkreed|- ВКонтакте: https://vk.com/egorkreed|KIRILLIN x LUCKY production|Director: Kate Yak @kate_yak|DoP: Vitaly Sechenov @sechenov_dop|Producer: Svetlana Lucky @svetlanalucky|Casting director: Izabella Tsibizova @izabellatsibizova |Stylist: Valeriya Shulikova @vv_valera|Production designer: Tatyana Melnikova @tany_melnikova1101|Make Up & Hair: Lusya Shishkova @luiloveyou|Edit: Tim Rizaev @timrizaev|Effects: Efim Kitaev @kitprod|Focus puller: Yuliya Osipova @magic_yuu|Clean Up: Alexey Repin @_alexeyrepin_|Konstantin Evtukhov @evtukhov.fx|Color grading: Alexandr Zolotarev @alexandrezolotarev|CG: t7.production|#ЕгорКрид #WeGottaGetLove #ПремьераКлипа",Егор Крид,Егор Крид|We Gotta Get Love|Премьера клипа 2022|премьера|клип|егор крид клип|егор|крид|крид we gotta get love|новый клип крида|egor kreed|kreed|клип 2022|новая музыка 2022|music video|русский рэп|video|егор крид ви готта гет лав|ви гатта гет лав|я снова один в этом ламбо,10,2022-07-25T00:00:00Z
7,aMCIUwoK-uU,202191,13597,1062,https://i.ytimg.com/vi/aMCIUwoK-uU/default.jpg,2022-07-22T08:00:10Z,UCZnZFJdSaZGLS_gGqaWvZvw,KELJO - Jangan Katakan Cinta (Official Music Video),"""Jangan Katakan Cinta""  merupakan single keempat dari Kelvin Joshua yg juga dikenal dengan KELJO.|KELJO adalah finalis Top  9 Indonesian Idol Special Season 2021, yang merupakan penyanyi sekaligus pencipta lagu.|Lagu ini adalah sebuah kisah lanjutan dari single kedua Keljo bertajuk SIRNA. Merupakan single ketiga dari Trilogi Kisah Cinta, yang terinspirasi dari kisah cintanya. |Menampilkan Bonge & Jeje dalam Video Clip Jangan Katakan Cinta. Merupakan penampilan perdana dari Bonge dan juga Jeje dalam sebuah Video Clip. |Lagu ini diciptakan oleh Yoshua perwirana dan juga Keljo, diproduksi oleh Shuna Music, dan Video Clip diproduksi oleh Megamine Production. |https://sndo.ffm.to/4jr43me|--------------------------------------------------------------|""Jangan katakana Cinta"" - Keljo|Composed by Yoshua Perwirana|Lyrics by Kelvin Joshua & Yoshua Perwirana|Music produced by Shuna|Music arrangements by Yoshua Perwirana|Vocal Directed by Kamga Mo|Vocals: Keljo|Backing Vocals: Meilita K. Perwirana, Keljo|Guitar: Yoshua Perwirana|Keyboard and Synths: Restha Wirananda|Synths and Samples: Yoshua Perwirana|Drum: Nikolas Praditya|Guitars, keyboards and synths were recorded at LJF Basecamp, engineered by Yoshua Perwirana.|Vocals, guitar, and drums were recorded at Mekel Studio, engineered by Kelana Halim|Mixed and Mastered by Kelana Halim|--------------------------------------------------------------|Jangan katakana Cinta - Keljo|(verse 1)|banyak cerita tentang kisah diriku|belum saatnya kau tau semua itu|salah kah bila aku tak mau dulu|mengapa kau sudah suka diriku|kiranya kau mengerti|(chorus)|jangan katakan cinta bila kau tak mampu |tuk pahamiku|nanti dulu kau belum tau isi hatiku|belum sampai seminggu kau sudah bilang i love you|sudah simpan saja cintamu untukku|(verse 2)|bukan maksudku menolak cinta (cintamu)|namun kecewa dalam hatiku (belum sirna)|ku tak mau diburu-buru rasa|sesal yang ku rasa masih adaa|kiranya kau mengerti|(chorus)|jangan katakan cinta bila kau tak mampu |tuk pahamiku|nanti dulu kau belum tau isi hatiku|belum sampai seminggu kau sudah bilang i love you|sudah simpan saja cintamu untukku|tak ingin ku kembali|mengulang kisah yang berujung patah hati|beri sejenak waktu|bila saatnya kan tiba|mungkin kita kan bersama|(chorus)|jangan katakan cinta bila kau tak mampu |tuk pahamiku|nanti dulu kau belum tau isi hatiku|belum sampai seminggu kau sudah bilang i love you|sudah simpan saja cintamu |jangan katakan cinta bila kau tak mampu |tuk pahamiku|nanti dulu kau belum tau isi hatiku|belum sampai seminggu kau sudah bilang i love you|sudah simpan saja cintamu|tunggu aku tuk bersamamu|sudah simpan saja cintamu untukku",Kelvin Joshua,kelvin joshua|JEJE|bonge|JKC|KELJO|Indonesian Idol|sudirman|Jangan Katakan Cinta,10,2022-07-25T00:00:00Z
8,jAxBRYLrr7M,522571,11904,880,https://i.ytimg.com/vi/jAxBRYLrr7M/default.jpg,2022-07-22T07:48:26Z,UCMtFAi84ehTSYSE9XoHefig,“His Political Power…Is Actually Waning” - Chris Hayes On T**** And The Impact Of The Hearings,"Chris Hayes wraps up his appearance on #LateShowLIVE with an analysis of the impact the Jan. 6th Committee hearings are having on the former president's political power. Catch Chris Hayes weeknights on MSNBC! #Colbert #LateShowLIVE #ChrisHayes|Subscribe To ""The Late Show"" Channel: http://bit.ly/ColbertYouTube|Watch full episodes of ""The Late Show"": http://bit.ly/1Puei40|Listen to ""The Late Show Pod Show"" podcast: https://link.chtbl.com/Awagtx95?sid=yt|Like ""The Late Show"" on Facebook: http://on.fb.me/1df139Y|Follow ""The Late Show"" on Twitter: http://bit.ly/1dMzZzG|Follow ""The Late Show"" on Instagram: http://bit.ly/29wfREj|Watch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.|---|The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via Paramount+, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes.",The Late Show with Stephen Colbert,The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous,24,2022-07-25T00:00:00Z
9,NbDOmeoM0Iw,202966,,,https://i.ytimg.com/vi/NbDOmeoM0Iw/default.jpg,2022-07-22T06:45:00Z,UCDOD89CZCNdJZPPM1hudUPQ,『SPY×FAMILY』×『白猫プロジェクト NEW WORLD'S』コラボ　ショートPV #shorts,『SPY×FAMILY』×『白猫プロジェクト NEW WORLD'S』がコラボレーション！|白猫の世界に『SPY×FAMILY』がやってきた！3Dになったキャラクターたちとともに冒険！|コラボ限定のスパイアクション！さらにシナリオは全ボイス新規収録の完全オリジナル！|白猫だけの『SPY×FAMILY』を楽しみつくそう！！|▼▼▼「白猫プロジェクト NEW WORLD'S」今すぐプレイ！▼▼▼|https://colopl.co.jp/shironekoproject/app_redirect/yt/?rf=com_pv|ーーーーーーーーー|※ゲーム画面は開発中のものです。動画の内容は変更になる場合があります。|ーーーーーーーーー|©遠藤達哉／集英社・SPY×FAMILY製作委員会|【チャンネル登録】はコチラ→https://www.youtube.com/channel/UCDOD89CZCNdJZPPM1hudUPQ?sub_confirmation=1|映像内でご紹介している各種情報の実施期間、|内容および仕様等に関しては、変更になる場合がございます。|詳しくはゲーム内お知らせをご確認ください。|公式Twitter：|https://twitter.com/wcat_project|公式サイト：|https://colopl.co.jp/shironekoproject/|【好評配信中！】|Android版：https://play.google.com/store/apps/details?id=jp.colopl.wcat|iOS版：https://itunes.apple.com/jp/app/id895687962|世界は、君の指先に託される――|コロプラが総力を結集して贈る期待の「王道」RPG、ついに始動。|本格3DアクションRPG「白猫プロジェクト」！|ダウンロードは無料、面倒な登録や難しい操作も不要。|スマートフォンでついに実現した正真正銘の「王道」RPGを、今すぐプレイしよう！|ーーーーーーーーーーーーーーーーーーーーーーーーーーー|・対応スマートデバイスの購入および通信料はお客様のご負担となります。|・アイテム課金制です。一部キャラクターは有料のランダム型アイテム提供方式により提供されます。|・20歳未満の方へ：アイテムを購入する際は、保護者から同意をもらうか、一緒に購入するようにしてください。|ーーーーーーーーーーーーーーーーーーーーーーーーーーー|#白猫プロジェクト #SPY_FAMILY #スパイファミリー,COLOPL CHANNEL,コロプラ|colopl|白猫プロジェクト|白猫|ロイド|ろいど|江口拓也|エグチタクヤ|えぐちたくや|アーニャ|あーにゃ|種﨑敦美|タネザキアツミ|たねざきあつみ|ヨル|よる|早見沙織|ハヤミサオリ|はやみさおり|SPY×FAMILY|スパイファミリー,20,2022-07-25T00:00:00Z
